DUMP LAB | 2026-08-10_1358 UTC
Days=60 | symbols=150

================================================================
SUMMARY | DUMP v0.1_base
pump>=5.0%/6b vol>=1.7x body 4.0-9.0% risk=4% gcd=0
================================================================
Всего: 161
Wins:  34 (21.1%)
BE:    30
STOP:  97 (60.2%)
OPEN:  0
  TP2: 5
  TP1+TP2: 28
  TP1: 1
  TP1->BE: 30
  STOP: 97

Start $300.00 → Final $324.40 (+8.1%)
Total R +8.0 | Avg +0.05R | MaxDD 42.4%

--- trades ---
2026-07-11 09:45 | CAP          | body=  4.2% | TP1->BE    | 117b | +0.8R | eq=309.60
2026-07-16 05:00 | BSB          | body=  6.3% | STOP       |   6b | -1.0R | eq=276.71
2026-07-18 04:30 | BANK         | body=  7.6% | STOP       |   1b | -1.0R | eq=271.18
2026-07-19 05:45 | US           | body=  6.9% | STOP       |   1b | -1.0R | eq=265.75
2026-07-20 09:45 | ESPORTS      | body=  5.4% | STOP       |   1b | -1.0R | eq=260.44
2026-07-21 03:30 | XAN          | body=  6.1% | STOP       |   4b | -1.0R | eq=255.23
2026-07-22 01:00 | BANK         | body=  7.9% | STOP       |   1b | -1.0R | eq=250.12
2026-07-24 10:00 | BEAT         | body=  7.0% | TP2        |   1b | +3.0R | eq=265.13
2026-07-24 13:45 | AKE          | body=  6.1% | STOP       |   1b | -1.0R | eq=259.83
2026-07-24 13:45 | SNXX         | body=  5.9% | STOP       |   1b | -1.0R | eq=254.63
2026-07-24 13:45 | SOXL         | body=  5.2% | STOP       |   1b | -1.0R | eq=249.54
2026-07-25 06:15 | ALLO         | body=  7.8% | TP1+TP2    |   4b | +2.3R | eq=261.02
2026-07-26 01:00 | 1000CAT      | body=  5.2% | STOP       |   7b | -1.0R | eq=255.80
2026-07-26 01:00 | ALLO         | body=  7.0% | TP1->BE    |   6b | +0.8R | eq=259.89
2026-07-27 13:45 | SNXX         | body=  7.9% | TP2        |   1b | +3.0R | eq=275.48
2026-07-27 14:00 | MUU          | body=  6.1% | TP1->BE    |   3b | +0.8R | eq=279.89
2026-07-27 16:15 | BEAT         | body=  7.8% | TP1->BE    |   2b | +0.8R | eq=284.37
2026-07-28 01:15 | BTW          | body=  7.8% | STOP       |   1b | -1.0R | eq=278.68
2026-07-28 02:15 | BANK         | body=  7.2% | STOP       |   1b | -1.0R | eq=273.11
2026-07-28 13:45 | SNXX         | body=  6.7% | STOP       |   1b | -1.0R | eq=267.65
2026-07-29 01:45 | KORU         | body=  5.5% | TP1->BE    |   2b | +0.8R | eq=271.93
2026-07-30 01:15 | AKE          | body=  7.0% | TP1->BE    |   3b | +0.8R | eq=276.28
2026-07-30 07:45 | BANK         | body=  6.5% | STOP       |   1b | -1.0R | eq=270.76
2026-07-30 13:45 | SOXS         | body=  6.4% | STOP       |   1b | -1.0R | eq=265.34
2026-07-31 13:45 | SNXX         | body=  6.7% | TP2        |   1b | +3.0R | eq=281.26
2026-07-31 14:00 | MUU          | body=  5.8% | STOP       |   1b | -1.0R | eq=275.64
2026-08-01 00:45 | CAP          | body=  6.3% | TP1+TP2    |  15b | +2.3R | eq=288.31
2026-08-01 02:00 | US           | body=  6.5% | STOP       |   1b | -1.0R | eq=282.55
2026-08-01 05:30 | COTI         | body=  6.5% | STOP       |   1b | -1.0R | eq=276.90
2026-08-01 06:00 | BANK         | body=  9.0% | TP1+TP2    |  30b | +2.3R | eq=289.63
2026-08-02 09:15 | 1000RATS     | body=  6.4% | TP2        |   1b | +3.0R | eq=307.01
2026-08-03 05:45 | AKE          | body=  6.1% | STOP       |   1b | -1.0R | eq=300.87
2026-08-03 09:00 | SKYAI1       | body=  5.8% | STOP       |   4b | -1.0R | eq=294.85
2026-08-03 18:45 | BLESS        | body=  8.5% | TP1+TP2    |   2b | +2.3R | eq=308.42
2026-08-03 19:45 | BTW          | body=  7.8% | TP2        |   1b | +3.0R | eq=326.92
2026-08-04 06:00 | 1000RATS     | body=  5.2% | TP1->BE    |   3b | +0.8R | eq=332.15
2026-08-05 12:00 | 1000RATS     | body=  5.6% | TP2        |   1b | +3.0R | eq=352.08
2026-08-05 13:45 | ESPORTS      | body=  8.7% | STOP       |   1b | -1.0R | eq=345.04
2026-08-05 22:00 | BTW          | body=  7.0% | STOP       |   1b | -1.0R | eq=338.14
2026-08-06 03:15 | 1000RATS     | body=  5.4% | TP1->BE    |   4b | +0.8R | eq=343.55
2026-08-06 09:45 | COOKIE       | body=  6.0% | STOP       |   1b | -1.0R | eq=336.68
2026-08-06 12:30 | EPIC         | body=  5.8% | STOP       |   1b | -1.0R | eq=329.95
2026-08-06 20:15 | AAOI         | body=  6.7% | STOP       |   1b | -1.0R | eq=323.35
2026-08-07 02:15 | SKYAI1       | body=  7.6% | STOP       |   1b | -1.0R | eq=316.88
2026-08-07 02:15 | ZBT          | body=  8.3% | TP2        |   1b | +3.0R | eq=335.89
2026-08-07 03:00 | CYS          | body=  5.0% | TP2        |   1b | +3.0R | eq=356.05
2026-08-07 05:00 | BLESS        | body=  6.9% | STOP       |   1b | -1.0R | eq=348.93
2026-08-07 13:45 | SNXX         | body=  6.6% | TP2        |   1b | +3.0R | eq=369.86
2026-08-07 20:00 | NIL          | body=  7.2% | STOP       |   1b | -1.0R | eq=362.46
2026-08-08 02:30 | HEI          | body=  5.2% | STOP       |   1b | -1.0R | eq=355.21
2026-08-08 03:30 | EPIC         | body=  5.8% | STOP       |   1b | -1.0R | eq=348.11
2026-08-08 04:15 | BTW          | body=  6.1% | STOP       |   1b | -1.0R | eq=341.15
2026-08-08 05:15 | BSB          | body=  6.5% | TP2        |   1b | +3.0R | eq=361.62
2026-08-08 05:30 | GWEI         | body=  8.7% | TP2        |   1b | +3.0R | eq=383.31
2026-08-09 01:30 | CYS          | body=  7.7% | STOP       |   1b | -1.0R | eq=375.65
2026-08-09 03:45 | BEAT         | body=  6.1% | STOP       |   1b | -1.0R | eq=368.14
2026-08-09 08:00 | BICO         | body=  8.2% | STOP       |   1b | -1.0R | eq=360.77
2026-08-10 01:00 | XAN          | body=  8.9% | TP2        |   1b | +3.0R | eq=382.42
2026-08-10 07:30 | COAI         | body=  8.0% | TP1->BE    |  10b | +0.8R | eq=388.54
2026-08-10 09:15 | ACT          | body=  7.1% | TP1->BE    |   3b | +0.8R | eq=394.75


================================================================
SUMMARY | DUMP v0.3_gcd
pump>=8.0%/4b vol>=2.5x body 5.0-9.0% risk=2% gcd=16
================================================================
Всего: 33
Wins:  10 (30.3%)
BE:    2
STOP:  21 (63.6%)
OPEN:  0
  TP2: 7
  TP1+TP2: 3
  TP1->BE: 2
  STOP: 21

Start $300.00 → Final $348.65 (+16.2%)
Total R +8.5 | Avg +0.26R | MaxDD 14.9%

--- trades ---
2026-07-12 09:00 | US           | body=  8.2% | STOP       |   1b | -1.0R | eq=294.00
2026-07-14 20:30 | BSB          | body=  6.9% | STOP       |   1b | -1.0R | eq=288.12
2026-07-16 05:00 | BSB          | body=  6.3% | STOP       |   6b | -1.0R | eq=282.36
2026-07-18 04:30 | BANK         | body=  7.6% | STOP       |   1b | -1.0R | eq=276.71
2026-07-19 05:45 | US           | body=  6.9% | STOP       |   1b | -1.0R | eq=271.18
2026-07-20 09:45 | ESPORTS      | body=  5.4% | STOP       |   1b | -1.0R | eq=265.75
2026-07-21 03:30 | XAN          | body=  6.1% | STOP       |   4b | -1.0R | eq=260.44
2026-07-22 01:00 | BANK         | body=  7.9% | STOP       |   1b | -1.0R | eq=255.23
2026-07-24 10:00 | BEAT         | body=  7.0% | TP2        |   1b | +3.0R | eq=270.54
2026-07-25 06:15 | ALLO         | body=  7.8% | TP1+TP2    |   4b | +2.3R | eq=282.99
2026-07-26 01:00 | 1000CAT      | body=  5.2% | STOP       |   7b | -1.0R | eq=277.33
2026-07-27 13:45 | SNXX         | body=  7.9% | TP2        |   1b | +3.0R | eq=293.97
2026-07-28 01:15 | BTW          | body=  7.8% | STOP       |   1b | -1.0R | eq=288.09
2026-07-28 13:45 | SNXX         | body=  6.7% | STOP       |   1b | -1.0R | eq=282.33
2026-07-29 01:45 | KORU         | body=  5.5% | TP1->BE    |   2b | +0.8R | eq=286.84
2026-07-30 07:45 | BANK         | body=  6.5% | STOP       |   1b | -1.0R | eq=281.11
2026-07-31 13:45 | SNXX         | body=  6.7% | TP2        |   1b | +3.0R | eq=297.97
2026-08-01 00:45 | CAP          | body=  6.3% | TP1+TP2    |  15b | +2.3R | eq=311.68
2026-08-01 05:30 | COTI         | body=  6.5% | STOP       |   1b | -1.0R | eq=305.45
2026-08-02 09:15 | 1000RATS     | body=  6.4% | TP2        |   1b | +3.0R | eq=323.77
2026-08-03 05:45 | AKE          | body=  6.1% | STOP       |   1b | -1.0R | eq=317.30
2026-08-03 18:45 | BLESS        | body=  8.5% | TP1+TP2    |   2b | +2.3R | eq=331.89
2026-08-05 12:00 | 1000RATS     | body=  5.6% | TP2        |   1b | +3.0R | eq=351.81
2026-08-05 22:00 | BTW          | body=  7.0% | STOP       |   1b | -1.0R | eq=344.77
2026-08-06 09:45 | COOKIE       | body=  6.0% | STOP       |   1b | -1.0R | eq=337.88
2026-08-06 20:15 | AAOI         | body=  6.7% | STOP       |   1b | -1.0R | eq=331.12
2026-08-07 02:15 | SKYAI1       | body=  7.6% | STOP       |   1b | -1.0R | eq=324.50
2026-08-07 13:45 | SNXX         | body=  6.6% | TP2        |   1b | +3.0R | eq=343.97
2026-08-08 02:30 | HEI          | body=  5.2% | STOP       |   1b | -1.0R | eq=337.09
2026-08-09 01:30 | CYS          | body=  7.7% | STOP       |   1b | -1.0R | eq=330.34
2026-08-09 08:00 | BICO         | body=  8.2% | STOP       |   1b | -1.0R | eq=323.74
2026-08-10 01:00 | XAN          | body=  8.9% | TP2        |   1b | +3.0R | eq=343.16
2026-08-10 07:30 | COAI         | body=  8.0% | TP1->BE    |  10b | +0.8R | eq=348.65


================================================================
SUMMARY | DUMP v0.4_ultra
pump>=10.0%/4b vol>=3.0x body 5.5-8.5% risk=2% gcd=24
================================================================
Всего: 21
Wins:  4 (19.0%)
BE:    1
STOP:  16 (76.2%)
OPEN:  0
  TP2: 4
  TP1->BE: 1
  STOP: 16

Start $300.00 → Final $278.52 (-7.2%)
Total R -3.2 | Avg -0.15R | MaxDD 13.2%

--- trades ---
2026-07-14 20:30 | BSB          | body=  6.9% | STOP       |   1b | -1.0R | eq=294.00
2026-07-16 05:00 | BSB          | body=  6.3% | STOP       |   6b | -1.0R | eq=288.12
2026-07-19 05:45 | US           | body=  6.9% | STOP       |   1b | -1.0R | eq=282.36
2026-07-24 10:00 | BEAT         | body=  7.0% | TP2        |   1b | +3.0R | eq=299.30
2026-07-25 13:15 | ALLO         | body=  7.0% | STOP       |   1b | -1.0R | eq=293.31
2026-07-27 13:45 | SNXX         | body=  7.9% | TP2        |   1b | +3.0R | eq=310.91
